中央电视台,#genre#
CCTV-1综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8
CCTV-1综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225812/index.m3u8
CCTV-1综合,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227014/index.m3u8
CCTV-2财经,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226795/index.m3u8
CCTV-2财经,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226915/index.m3u8
CCTV-2财经,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8
CCTV-3综艺,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227055/index.m3u8
CCTV-3综艺,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227256/index.m3u8
CCTV-3综艺,http://218.29.55.44:808/hls/3/index.m3u8
CCTV-4中文国际,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225802/index.m3u8
CCTV-4中文国际,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227225/index.m3u8
CCTV-4中文国际,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226968/index.m3u8
CCTV-5体育,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225886/index.m3u8
CCTV-5体育,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227170/index.m3u8
CCTV-5体育,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221227229/index.m3u8
CCTV-5+体育赛事,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225939/index.m3u8
CCTV-5+体育赛事,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226919/index.m3u8
CCTV-6电影,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000
CCTV-7国防军事,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225805/index.m3u8
CCTV-7国防军事,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226972/index.m3u8
CCTV-7国防军事,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225927/index.m3u8
CCTV-8电视剧,https://live.v1.mk/api/ghyx.php?id=CCTV8HD_6000
CCTV-9纪录,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225820/index.m3u8
CCTV-9纪录,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225929/index.m3u8
CCTV-9纪录,http://218.29.55.44:808/hls/9/index.m3u8
CCTV-10科教,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221225931/index.m3u8
